SID,NAME,ISO_TIME,TYPE_CODE,LAT,LON,PRESSURE,WIND_MS,YEAR,WIND_KMH
198001,Dom,1980-05-15 00:00:00,3,18.0,122.5,985,30.0,1980,108.0
198004,Georgia,1980-05-22 12:00:00,3,18.2,114.6,988,25.0,1980,90.0
198005,Herbert,1980-06-26 12:00:00,3,18.1,110.5,985,25.0,1980,90.0
200000,CASS,1997-08-29 12:00:00,2,18.8,117.6,994,20.0,1997,72.0
198006,Ida,1980-07-09 12:00:00,3,20.2,122.4,982,30.0,1980,108.0
198007,Joe,1980-07-21 06:00:00,4,18.1,119.0,970,40.0,1980,144.0
198009,Kim,1980-07-25 12:00:00,4,18.0,120.2,965,35.0,1980,126.0
198012,Norris,1980-08-27 12:00:00,4,24.3,122.8,960,40.0,1980,144.0
198015,Percy,1980-09-17 18:00:00,6,21.2,122.2,915,60.0,1980,216.0
198021,Betty,1980-11-05 12:00:00,3,18.4,120.3,988,30.0,1980,108.0
198103,Ike,1981-06-11 00:00:00,3,18.1,111.7,990,25.0,1981,90.0
198104,June,1981-06-19 12:00:00,4,21.3,123.0,965,35.0,1981,126.0
198105,Kelly,1981-07-03 18:00:00,5,18.3,109.7,965,45.0,1981,162.0
198106,Lynn,1981-07-05 06:00:00,3,18.2,117.7,990,25.0,1981,90.0
198107,Maury,1981-07-19 06:00:00,3,25.2,123.0,987,25.0,1981,90.0
198111,Roy,1981-08-06 00:00:00,3,18.0,118.0,990,25.0,1981,90.0
198116,Clara,1981-09-19 18:00:00,6,18.6,122.7,924,60.0,1981,216.0
198120,Hazen,1981-11-22 06:00:00,2,18.3,109.8,998,20.0,1981,72.0
198121,Irma,1981-11-25 00:00:00,3,18.0,119.2,985,30.0,1981,108.0
198205,Tess,1982-06-29 00:00:00,2,18.3,113.1,988,20.0,1982,72.0
198208,Winona,1982-07-16 06:00:00,3,18.8,115.2,985,25.0,1982,90.0
198209,Andy,1982-07-28 12:00:00,6,22.0,122.6,935,55.0,1982,198.0
198211,Cecil,1982-08-10 00:00:00,5,26.2,123.0,942,45.0,1982,162.0
198212,Dot,1982-08-14 12:00:00,3,21.9,122.3,988,30.0,1982,108.0
198214,Faye,1982-08-25 06:00:00,2,18.3,120.1,985,20.0,1982,72.0
198217,Irving,1982-09-13 06:00:00,4,18.0,112.8,955,40.0,1982,144.0
198224,Roger,1982-12-10 00:00:00,3,18.0,122.8,988,25.0,1982,90.0
198302,Tip,1983-07-12 12:00:00,3,18.0,112.1,985,25.0,1983,90.0
198303,Vera,1983-07-16 18:00:00,4,18.4,113.3,970,35.0,1983,126.0
198304,Wayne,1983-07-24 06:00:00,6,19.9,123.0,920,65.0,1983,234.0
198309,Ellen,1983-09-06 06:00:00,6,18.3,123.0,930,60.0,1983,216.0
198314,Joe,1983-10-12 12:00:00,3,18.2,114.6,985,30.0,1983,108.0
198316,Lex,1983-10-23 12:00:00,3,18.0,114.0,992,25.0,1983,90.0
198402,Wynne,1984-06-23 12:00:00,3,21.9,122.3,982,30.0,1984,108.0
198403,Alex,1984-07-02 12:00:00,3,19.2,122.8,976,30.0,1984,108.0
198404,Betty,1984-07-07 12:00:00,2,18.0,116.5,998,20.0,1984,72.0
198406,Ed,1984-07-31 00:00:00,4,31.8,122.8,975,35.0,1984,126.0
198407,Freda,1984-08-07 00:00:00,3,24.7,123.0,985,30.0,1984,108.0
198410,Ike,1984-09-05 00:00:00,5,18.4,112.2,955,45.0,1984,162.0
198411,June,1984-08-28 18:00:00,3,18.4,122.5,985,25.0,1984,90.0
198419,Bill,1984-11-17 06:00:00,6,18.8,123.0,935,55.0,1984,198.0
198504,Hal,1985-06-21 18:00:00,4,18.4,122.9,958,40.0,1985,144.0
198506,Jeff,1985-07-29 18:00:00,4,26.4,122.9,968,35.0,1985,126.0
198509,Mamie,1985-08-18 00:00:00,4,31.1,122.4,980,35.0,1985,126.0
198510,Nelson,1985-08-22 18:00:00,5,25.4,122.9,955,45.0,1985,162.0
198515,Tess,1985-09-04 00:00:00,3,18.0,118.8,985,30.0,1985,108.0
198516,Val,1985-09-16 12:00:00,3,21.1,121.8,990,25.0,1985,90.0
198517,Winona,1985-09-20 12:00:00,2,18.3,112.0,995,20.0,1985,72.0
198519,Brendan,1985-10-04 00:00:00,4,24.5,122.7,962,40.0,1985,144.0
198521,Dot,1985-10-20 18:00:00,4,18.0,111.6,965,40.0,1985,144.0
198605,Nancy,1986-06-23 00:00:00,4,20.0,123.0,968,35.0,1986,126.0
198607,Peggy,1986-07-09 00:00:00,5,18.0,122.2,930,45.0,1986,162.0
198613,(nameless),1986-08-10 06:00:00,2,18.2,111.4,995,20.0,1986,72.0
198616,Wayne,1986-08-19 12:00:00,4,18.2,114.2,975,35.0,1986,126.0
198617,Abby,1986-09-18 12:00:00,5,22.2,122.9,942,50.0,1986,180.0
198621,Ellen,1986-10-15 06:00:00,4,18.1,117.2,970,40.0,1986,144.0
198625,Ida,1986-11-15 06:00:00,3,18.7,113.5,986,30.0,1986,108.0
198705,Vernon,1987-07-20 12:00:00,3,21.2,123.0,980,30.0,1987,108.0
198707,Alex,1987-07-26 00:00:00,4,20.2,123.0,970,35.0,1987,126.0
198710,Cary,1987-08-21 18:00:00,4,18.3,109.2,970,35.0,1987,126.0
198712,Gerald,1987-09-08 18:00:00,5,20.7,122.3,955,45.0,1987,162.0
198719,Lynn,1987-10-23 12:00:00,5,18.8,122.5,940,45.0,1987,162.0
