SID,NAME,ISO_TIME,TYPE_CODE,LAT,LON,PRESSURE,WIND_MS,YEAR,WIND_KMH
198001,Dom,1980-05-14 00:00:00,4,17.3,122.8,965,40.0,1980,144.0
198001,Dom,1980-05-14 06:00:00,4,17.3,122.6,970,35.0,1980,126.0
198001,Dom,1980-05-14 12:00:00,4,17.5,122.4,980,35.0,1980,126.0
198001,Dom,1980-05-14 18:00:00,3,17.7,122.5,982,30.0,1980,108.0
198001,Dom,1980-05-15 00:00:00,3,18.0,122.5,985,30.0,1980,108.0
198004,Georgia,1980-05-21 12:00:00,1,15.9,115.6,998,15.0,1980,54.0
198004,Georgia,1980-05-21 18:00:00,2,16.2,115.3,994,20.0,1980,72.0
198004,Georgia,1980-05-22 00:00:00,2,16.7,115.0,990,20.0,1980,72.0
198004,Georgia,1980-05-22 06:00:00,3,17.4,114.6,986,25.0,1980,90.0
198004,Georgia,1980-05-22 12:00:00,3,18.2,114.6,988,25.0,1980,90.0
198005,Herbert,1980-06-25 12:00:00,3,15.8,112.9,992,25.0,1980,90.0
198005,Herbert,1980-06-25 18:00:00,3,16.2,112.3,990,25.0,1980,90.0
198005,Herbert,1980-06-26 00:00:00,3,16.9,111.4,990,25.0,1980,90.0
198005,Herbert,1980-06-26 06:00:00,3,17.5,110.8,990,25.0,1980,90.0
198005,Herbert,1980-06-26 12:00:00,3,18.1,110.5,985,25.0,1980,90.0
200000,CASS,1997-08-28 12:00:00,1,17.2,115.3,1000,15.0,1997,54.0
200000,CASS,1997-08-28 18:00:00,1,17.2,115.7,1000,15.0,1997,54.0
200000,CASS,1997-08-29 00:00:00,1,17.2,116.1,998,15.0,1997,54.0
200000,CASS,1997-08-29 06:00:00,1,17.8,116.8,998,15.0,1997,54.0
200000,CASS,1997-08-29 12:00:00,2,18.8,117.6,994,20.0,1997,72.0
198006,Ida,1980-07-08 12:00:00,3,18.5,127.5,984,25.0,1980,90.0
