SID,NAME,ISO_TIME,TYPE_CODE,LAT,LON,PRESSURE,WIND_MS,YEAR,WIND_KMH
198001,Dom,1980-05-12 12:00:00,4,15.0,124.9,975,35.0,1980,126.0
198001,Dom,1980-05-12 18:00:00,4,15.8,124.3,972,35.0,1980,126.0
198001,Dom,1980-05-13 00:00:00,4,16.2,124.0,965,35.0,1980,126.0
198001,Dom,1980-05-13 06:00:00,4,16.5,123.7,961,40.0,1980,144.0
198001,Dom,1980-05-13 12:00:00,5,16.8,123.4,956,45.0,1980,162.0
198001,Dom,1980-05-13 18:00:00,5,17.2,123.1,960,45.0,1980,162.0
198001,Dom,1980-05-14 00:00:00,4,17.3,122.8,965,40.0,1980,144.0
198001,Dom,1980-05-14 06:00:00,4,17.3,122.6,970,35.0,1980,126.0
198001,Dom,1980-05-14 12:00:00,4,17.5,122.4,980,35.0,1980,126.0
198001,Dom,1980-05-14 18:00:00,3,17.7,122.5,982,30.0,1980,108.0
198001,Dom,1980-05-15 00:00:00,3,18.0,122.5,985,30.0,1980,108.0
198001,Dom,1980-05-15 06:00:00,3,18.3,122.6,985,30.0,1980,108.0
198001,Dom,1980-05-15 12:00:00,3,18.6,122.6,990,25.0,1980,90.0
198001,Dom,1980-05-15 18:00:00,3,19.0,122.7,990,25.0,1980,90.0
198001,Dom,1980-05-16 00:00:00,3,19.5,122.9,980,25.0,1980,90.0
198001,Dom,1980-05-16 06:00:00,3,20.0,123.3,977,25.0,1980,90.0
198001,Dom,1980-05-16 12:00:00,3,20.1,124.0,977,30.0,1980,108.0
198001,Dom,1980-05-16 18:00:00,3,20.2,124.5,977,30.0,1980,108.0
198001,Dom,1980-05-17 00:00:00,3,20.5,125.5,974,30.0,1980,108.0
198001,Dom,1980-05-17 06:00:00,3,21.0,126.3,977,30.0,1980,108.0
198001,Dom,1980-05-17 12:00:00,3,21.2,126.5,977,30.0,1980,108.0
198001,Dom,1980-05-17 18:00:00,3,21.2,127.2,980,25.0,1980,90.0
198001,Dom,1980-05-18 00:00:00,3,21.0,127.5,985,25.0,1980,90.0
198001,Dom,1980-05-18 06:00:00,2,20.5,127.6,985,20.0,1980,72.0
198001,Dom,1980-05-18 12:00:00,9,20.1,127.4,990,20.0,1980,72.0
198001,Dom,1980-05-18 18:00:00,9,20.0,126.8,995,15.0,1980,54.0
198001,Dom,1980-05-19 00:00:00,9,20.4,126.0,995,15.0,1980,54.0
198001,Dom,1980-05-19 06:00:00,9,21.4,125.7,998,15.0,1980,54.0
198001,Dom,1980-05-19 12:00:00,9,21.4,126.0,998,15.0,1980,54.0
198001,Dom,1980-05-19 18:00:00,9,21.5,126.2,998,15.0,1980,54.0
198001,Dom,1980-05-20 00:00:00,9,21.6,126.4,998,15.0,1980,54.0
198001,Dom,1980-05-20 06:00:00,9,21.8,126.9,1000,15.0,1980,54.0
198001,Dom,1980-05-20 12:00:00,9,22.4,127.2,1002,12.0,1980,43.2
198003,Forrest,1980-05-25 00:00:00,3,15.4,122.0,996,25.0,1980,90.0
198003,Forrest,1980-05-25 06:00:00,3,16.2,121.3,996,25.0,1980,90.0
198003,Forrest,1980-05-25 12:00:00,2,16.8,121.0,996,20.0,1980,72.0
198003,Forrest,1980-05-25 18:00:00,2,17.4,120.5,998,20.0,1980,72.0
198003,Forrest,1980-05-26 00:00:00,1,17.9,120.0,1000,12.0,1980,43.2
198003,Forrest,1980-05-26 06:00:00,1,18.9,119.9,1002,12.0,1980,43.2
198003,Forrest,1980-05-26 12:00:00,0,20.0,120.0,1002,10.0,1980,36.0
198003,Forrest,1980-05-26 18:00:00,0,21.0,120.3,1002,10.0,1980,36.0
198003,Forrest,1980-05-27 00:00:00,0,20.6,121.2,1005,10.0,1980,36.0
198004,Georgia,1980-05-19 00:00:00,0,16.9,117.0,1002,10.0,1980,36.0
198004,Georgia,1980-05-19 06:00:00,0,16.4,116.0,1002,10.0,1980,36.0
198004,Georgia,1980-05-19 12:00:00,0,15.8,115.0,1001,10.0,1980,36.0
198004,Georgia,1980-05-19 18:00:00,0,15.3,114.2,1000,10.0,1980,36.0
198004,Georgia,1980-05-21 00:00:00,1,15.3,115.9,1000,15.0,1980,54.0
198004,Georgia,1980-05-21 06:00:00,1,15.7,115.7,1000,15.0,1980,54.0
198004,Georgia,1980-05-21 12:00:00,1,15.9,115.6,998,15.0,1980,54.0
198004,Georgia,1980-05-21 18:00:00,2,16.2,115.3,994,20.0,1980,72.0
198004,Georgia,1980-05-22 00:00:00,2,16.7,115.0,990,20.0,1980,72.0
198004,Georgia,1980-05-22 06:00:00,3,17.4,114.6,986,25.0,1980,90.0
198004,Georgia,1980-05-22 12:00:00,3,18.2,114.6,988,25.0,1980,90.0
198004,Georgia,1980-05-22 18:00:00,3,19.0,114.7,988,25.0,1980,90.0
198004,Georgia,1980-05-23 00:00:00,3,19.6,114.9,988,25.0,1980,90.0
198004,Georgia,1980-05-23 06:00:00,3,20.6,115.1,985,25.0,1980,90.0
198004,Georgia,1980-05-23 12:00:00,3,21.7,115.7,985,25.0,1980,90.0
198004,Georgia,1980-05-23 18:00:00,3,22.3,116.1,985,25.0,1980,90.0
198004,Georgia,1980-05-24 00:00:00,2,23.6,116.5,988,20.0,1980,72.0
198004,Georgia,1980-05-24 06:00:00,2,24.4,117.5,988,20.0,1980,72.0
198004,Georgia,1980-05-24 12:00:00,1,25.2,118.5,998,15.0,1980,54.0
198004,Georgia,1980-05-24 18:00:00,1,26.4,119.1,998,12.0,1980,43.2
198005,Herbert,1980-06-25 12:00:00,3,15.8,112.9,992,25.0,1980,90.0
198005,Herbert,1980-06-25 18:00:00,3,16.2,112.3,990,25.0,1980,90.0
198005,Herbert,1980-06-26 00:00:00,3,16.9,111.4,990,25.0,1980,90.0
198005,Herbert,1980-06-26 06:00:00,3,17.5,110.8,990,25.0,1980,90.0
198005,Herbert,1980-06-26 12:00:00,3,18.1,110.5,985,25.0,1980,90.0
198005,Herbert,1980-06-26 18:00:00,3,18.5,110.2,985,25.0,1980,90.0
198005,Herbert,1980-06-27 00:00:00,3,19.1,109.9,985,25.0,1980,90.0
198005,Herbert,1980-06-27 06:00:00,3,19.6,109.3,985,25.0,1980,90.0
198005,Herbert,1980-06-27 12:00:00,3,20.1,109.7,983,25.0,1980,90.0
198005,Herbert,1980-06-27 18:00:00,3,20.6,109.1,983,25.0,1980,90.0
198005,Herbert,1980-06-28 00:00:00,3,21.1,108.6,982,25.0,1980,90.0
198005,Herbert,1980-06-28 06:00:00,3,21.5,108.2,983,25.0,1980,90.0
198005,Herbert,1980-06-28 12:00:00,3,21.9,107.4,990,25.0,1980,90.0
198005,Herbert,1980-06-28 18:00:00,1,21.8,106.8,995,15.0,1980,54.0
200000,(nameless),1980-06-30 18:00:00,1,15.1,121.1,999,15.0,1980,54.0
200000,(nameless),1980-07-01 00:00:00,1,15.9,120.1,998,15.0,1980,54.0
200000,(nameless),1980-07-01 06:00:00,1,16.5,119.5,998,15.0,1980,54.0
200000,(nameless),1980-07-01 12:00:00,1,17.0,119.0,998,15.0,1980,54.0
200000,(nameless),1980-07-01 18:00:00,1,17.4,118.3,999,15.0,1980,54.0
200000,(nameless),1980-07-02 00:00:00,1,17.7,117.5,999,15.0,1980,54.0
200000,(nameless),1980-07-02 06:00:00,1,18.0,116.6,999,15.0,1980,54.0
200000,(nameless),1980-07-02 12:00:00,1,18.7,116.0,1000,12.0,1980,43.2
200000,(nameless),1980-07-02 18:00:00,1,19.7,116.0,1002,12.0,1980,43.2
198006,Ida,1980-07-08 06:00:00,3,18.1,128.8,985,25.0,1980,90.0
198006,Ida,1980-07-08 12:00:00,3,18.5,127.5,984,25.0,1980,90.0
198006,Ida,1980-07-08 18:00:00,3,18.9,125.9,984,30.0,1980,108.0
198006,Ida,1980-07-09 00:00:00,3,19.4,124.3,979,30.0,1980,108.0
198006,Ida,1980-07-09 06:00:00,3,19.9,123.1,980,30.0,1980,108.0
198006,Ida,1980-07-09 12:00:00,3,20.2,122.4,982,30.0,1980,108.0
198006,Ida,1980-07-09 18:00:00,3,20.3,121.5,985,30.0,1980,108.0
198006,Ida,1980-07-10 00:00:00,3,20.9,120.5,985,30.0,1980,108.0
198006,Ida,1980-07-10 06:00:00,3,21.1,119.8,985,30.0,1980,108.0
198006,Ida,1980-07-10 12:00:00,3,21.4,119.0,985,25.0,1980,90.0
198006,Ida,1980-07-10 18:00:00,3,21.7,118.4,985,25.0,1980,90.0
198006,Ida,1980-07-11 00:00:00,3,21.9,117.9,985,25.0,1980,90.0
198006,Ida,1980-07-11 06:00:00,3,22.3,117.3,985,25.0,1980,90.0
198006,Ida,1980-07-11 12:00:00,3,23.2,116.8,983,25.0,1980,90.0
198006,Ida,1980-07-11 18:00:00,2,23.8,116.1,985,20.0,1980,72.0
198006,Ida,1980-07-12 00:00:00,1,24.4,115.6,992,15.0,1980,54.0
198006,Ida,1980-07-12 06:00:00,1,25.5,115.5,996,15.0,1980,54.0
198006,Ida,1980-07-12 12:00:00,9,27.2,116.0,997,15.0,1980,54.0
198006,Ida,1980-07-12 18:00:00,9,28.6,117.3,997,15.0,1980,54.0
198006,Ida,1980-07-13 00:00:00,9,29.7,119.3,998,15.0,1980,54.0
198006,Ida,1980-07-13 06:00:00,9,30.9,120.6,998,15.0,1980,54.0
198006,Ida,1980-07-13 12:00:00,9,32.9,122.5,996,15.0,1980,54.0
198006,Ida,1980-07-13 18:00:00,9,35.0,125.0,996,15.0,1980,54.0
198006,Ida,1980-07-14 00:00:00,9,35.8,127.8,996,15.0,1980,54.0
198006,Ida,1980-07-14 06:00:00,9,36.4,129.9,998,12.0,1980,43.2
198008,(nameless),1980-07-16 00:00:00,1,15.0,123.5,1004,15.0,1980,54.0
198008,(nameless),1980-07-16 06:00:00,1,15.0,122.0,1004,15.0,1980,54.0
198008,(nameless),1980-07-16 12:00:00,1,15.2,120.3,1004,15.0,1980,54.0
198008,(nameless),1980-07-16 18:00:00,1,15.2,118.8,1004,15.0,1980,54.0
198008,(nameless),1980-07-17 00:00:00,1,15.4,117.5,1002,15.0,1980,54.0
198008,(nameless),1980-07-17 06:00:00,1,16.5,116.2,1000,15.0,1980,54.0
198008,(nameless),1980-07-17 12:00:00,1,16.8,115.2,1000,15.0,1980,54.0
198008,(nameless),1980-07-17 18:00:00,1,17.5,114.5,1000,15.0,1980,54.0
198008,(nameless),1980-07-18 00:00:00,1,18.5,113.5,1000,15.0,1980,54.0
198008,(nameless),1980-07-18 06:00:00,2,19.5,113.4,999,20.0,1980,72.0
198008,(nameless),1980-07-18 12:00:00,2,20.2,112.8,998,20.0,1980,72.0
198008,(nameless),1980-07-18 18:00:00,2,20.5,112.1,998,20.0,1980,72.0
198008,(nameless),1980-07-19 00:00:00,2,21.1,111.9,998,20.0,1980,72.0
198008,(nameless),1980-07-19 06:00:00,1,22.2,111.3,999,12.0,1980,43.2
198008,(nameless),1980-07-19 12:00:00,0,22.1,107.9,1000,10.0,1980,36.0
198008,(nameless),1980-07-19 18:00:00,0,21.0,105.8,1000,10.0,1980,36.0
198007,Joe,1980-07-19 18:00:00,4,15.7,128.4,970,35.0,1980,126.0
198007,Joe,1980-07-20 00:00:00,4,16.1,126.7,955,40.0,1980,144.0
198007,Joe,1980-07-20 06:00:00,5,16.3,125.3,945,45.0,1980,162.0
198007,Joe,1980-07-20 12:00:00,5,16.4,123.8,940,45.0,1980,162.0
198007,Joe,1980-07-20 18:00:00,4,17.1,122.1,950,40.0,1980,144.0
198007,Joe,1980-07-21 00:00:00,4,17.4,120.8,960,40.0,1980,144.0
198007,Joe,1980-07-21 06:00:00,4,18.1,119.0,970,40.0,1980,144.0
198007,Joe,1980-07-21 12:00:00,4,18.7,117.2,970,40.0,1980,144.0
198007,Joe,1980-07-21 18:00:00,4,19.1,115.3,970,40.0,1980,144.0
198007,Joe,1980-07-22 00:00:00,4,19.5,113.6,965,40.0,1980,144.0
198007,Joe,1980-07-22 06:00:00,4,20.1,112.2,965,40.0,1980,144.0
